,precision,recall,f1-score,support
0,0.28888888888888886,0.015587529976019185,0.02957906712172924,834.0
1,0.3246753246753247,0.05733944954128441,0.09746588693957114,436.0
2,0.3958333333333333,0.007132132132132132,0.014011799410029498,2664.0
3,0.8539109415719304,0.9954211244661647,0.9192518804635088,22713.0
accuracy,0.8506023192104177,0.8506023192104177,0.8506023192104177,0.8506023192104177
macro avg,0.4658271221173693,0.2688700590289001,0.26507715848370966,26647.0
weighted avg,0.7817717187981773,0.8506023192104177,0.7874604819785029,26647.0
