,precision,recall,f1-score,support
0,0.5,0.002398081534772182,0.00477326968973747,834.0
1,0.0,0.0,0.0,436.0
2,1.0,0.0018768768768768769,0.003746721618583739,2664.0
3,0.852567953146118,0.9998238894025449,0.9203428640904577,22713.0
accuracy,0.8524787030434946,0.8524787030434946,0.8524787030434946,0.8524787030434946
macro avg,0.5881419882865295,0.2510247119535485,0.23221571384969475,26647.0
weighted avg,0.8423228100652148,0.8524787030434946,0.7849930440724927,26647.0
