,precision,recall,f1-score,support
0,0.2,0.022781774580335732,0.04090419806243272,834.0
1,0.32051282051282054,0.05733944954128441,0.09727626459143969,436.0
2,0.40186915887850466,0.03228228228228228,0.059763724808895066,2664.0
3,0.855902513328256,0.9895654471007793,0.9178935331713393,22713.0
accuracy,0.8483506586107254,0.8483506586107254,0.8483506586107254,0.8483506586107254
macro avg,0.44457112317989533,0.27549223837617043,0.2789594301585267,26647.0
weighted avg,0.7812225321507338,0.8483506586107254,0.7912280156999836,26647.0
