,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.8452551526507219,0.7927693016940256,0.8452551526507219,0.8007375687820681
Random Forest,0.8488923178661965,0.798158617202142,0.8488923178661965,0.7998289001335361
Gradient Boosting,0.8579301223410118,0.8544827932348482,0.8579301223410118,0.8011337463363911
